support,itemsets,length
0.22166666666666668,"frozenset({'Is Married', '(4956.094, 24386.173]', '(-0.003, 1.0]'})",3
0.20166666666666666,"frozenset({'(4956.094, 24386.173]', '(-0.003, 1.0]', 'No mortgage'})",3
0.23833333333333334,"frozenset({'Has current_act', '(4956.094, 24386.173]', 'No mortgage'})",3
0.22166666666666668,"frozenset({'Is Married', '(4956.094, 24386.173]', 'No mortgage'})",3
0.20333333333333334,"frozenset({'Has current_act', 'No Car', '(4956.094, 24386.173]'})",3
0.24,"frozenset({'Has current_act', '(4956.094, 24386.173]', 'Is Married'})",3
0.22,"frozenset({'Has current_act', '(4956.094, 24386.173]', 'No pep'})",3
0.21333333333333335,"frozenset({'Is Married', '(4956.094, 24386.173]', 'No pep'})",3
0.22,"frozenset({'Yes save_act', '(4956.094, 24386.173]', 'Has current_act'})",3
0.3433333333333333,"frozenset({'(-0.003, 1.0]', 'Has pep'})",2
0.30333333333333334,"frozenset({'No mortgage', 'Has pep'})",2
0.22666666666666666,"frozenset({'No Car', 'Has pep'})",2
0.21666666666666667,"frozenset({'FEMALE', 'Has pep'})",2
0.3516666666666667,"frozenset({'Has current_act', 'Has pep'})",2
0.29833333333333334,"frozenset({'Yes save_act', 'Has pep'})",2
0.25666666666666665,"frozenset({'Is Married', 'Has pep'})",2
0.24,"frozenset({'MALE', 'Has pep'})",2
0.23,"frozenset({'Has Car', 'Has pep'})",2
0.26,"frozenset({'Has current_act', '(-0.003, 1.0]', 'Has pep'})",3
0.21333333333333335,"frozenset({'(-0.003, 1.0]', 'No mortgage', 'Has pep'})",3
0.23833333333333334,"frozenset({'Has current_act', 'No mortgage', 'Has pep'})",3
0.23333333333333334,"frozenset({'Yes save_act', 'Has current_act', 'Has pep'})",3
0.21333333333333335,"frozenset({'Yes save_act', 'No mortgage', 'Has pep'})",3
0.205,"frozenset({'Yes save_act', '(-0.003, 1.0]', 'Has pep'})",3
0.31,"frozenset({'(-0.003, 1.0]', 'INNER_CITY'})",2
0.2916666666666667,"frozenset({'INNER_CITY', 'No mortgage'})",2
0.23166666666666666,"frozenset({'No Car', 'INNER_CITY'})",2
0.22666666666666666,"frozenset({'(4956.094, 24386.173]', 'INNER_CITY'})",2
0.21833333333333332,"frozenset({'FEMALE', 'INNER_CITY'})",2
0.205,"frozenset({'INNER_CITY', 'Has pep'})",2
0.3416666666666667,"frozenset({'Has current_act', 'INNER_CITY'})",2
0.2966666666666667,"frozenset({'Is Married', 'INNER_CITY'})",2
0.28833333333333333,"frozenset({'Yes save_act', 'INNER_CITY'})",2
0.24333333333333335,"frozenset({'INNER_CITY', 'No pep'})",2
0.21666666666666667,"frozenset({'Has Car', 'INNER_CITY'})",2
0.23,"frozenset({'MALE', 'INNER_CITY'})",2
0.23166666666666666,"frozenset({'Has current_act', '(-0.003, 1.0]', 'INNER_CITY'})",3
0.22666666666666666,"frozenset({'Has current_act', 'INNER_CITY', 'No mortgage'})",3
0.22666666666666666,"frozenset({'Has current_act', 'Is Married', 'INNER_CITY'})",3
0.20833333333333334,"frozenset({'Is Married', '(-0.003, 1.0]', 'INNER_CITY'})",3
0.22666666666666666,"frozenset({'Yes save_act', 'INNER_CITY', 'Has current_act'})",3
0.2,"frozenset({'Yes save_act', 'Is Married', 'INNER_CITY'})",3
0.25333333333333335,"frozenset({'(34.333, 50.667]', '(-0.003, 1.0]'})",2
0.23,"frozenset({'(34.333, 50.667]', 'No mortgage'})",2
0.2633333333333333,"frozenset({'Has current_act', '(34.333, 50.667]'})",2
0.23333333333333334,"frozenset({'Is Married', '(34.333, 50.667]'})",2
0.205,"frozenset({'(24386.173, 43758.137]', '(34.333, 50.667]'})",2
0.24,"frozenset({'Yes save_act', '(34.333, 50.667]'})",2
0.21666666666666667,"frozenset({'No mortgage', 'Not Married'})",2
0.215,"frozenset({'(-0.003, 1.0]', 'Not Married'})",2
0.2,"frozenset({'Not Married', 'Has pep'})",2
0.27,"frozenset({'Has current_act', 'Not Married'})",2
